ra_L,dec_L,z_L,lam_L,ra_R,dec_R,z_R,lam_R,sep_rad,sep_hmpc
43.6951649271909,1.46732293007893,0.57911706,25.495275,42.3178250516617,1.03459894274278,0.58236665,24.915586,0.025192072575841114,37.85483129105163
43.9727632496028,1.55795457666348,0.23707369,21.895102,43.6668829920525,4.04286050573026,0.24088417,20.918783,0.04369630428205971,29.55941449760924
43.8937946857619,2.23595080585354,0.23551537,21.498472,43.6668829920525,4.04286050573026,0.24088417,20.918783,0.03178346093464936,21.434815814457505
44.0648096334677,4.1746897633682,0.17597282,33.015976,43.1456888938491,2.27774499623809,0.17547315,20.934038,0.03677814613218999,18.585670076359786
42.3914311453765,0.0469599040623289,0.18098606,35.91442,43.1456888938491,2.27774499623809,0.17547315,20.934038,0.041098708608892226,21.05225747288462
39.9506751005809,2.87590630591943,0.16975787,22.154436,43.1456888938491,2.27774499623809,0.17547315,20.934038,0.056676669766555436,28.156368642545058
41.9593313136292,2.79630917102911,0.4516821,33.488884,43.1178546133102,2.85482621625818,0.45150968,28.180151,0.02022126981616774,24.458663310858217
43.1178546133102,2.85482621625818,0.45150968,28.180151,41.4574793193639,2.60612825487514,0.4462598,23.603659,0.029269726976938238,35.21603260080454
42.000385433424,3.0426938653729,0.5594042,27.234343,41.9056414001884,1.9362095703381,0.5570793,21.040823,0.019382325031267387,28.166137976064576
42.000385433424,3.0426938653729,0.5594042,27.234343,41.3410247154066,1.88749400920657,0.5638861,21.132353,0.023209756977470797,33.90275071774826
42.0133322214585,3.12654509905008,0.5676477,24.854567,41.3410247154066,1.88749400920657,0.5638861,21.132353,0.024598386317390523,36.15478673370086
43.3723752331679,3.63869040340363,0.17638934,30.636202,43.1920911553153,1.08482394818484,0.16780604,21.223883,0.044684095343457304,22.134814019313048
40.9669479187429,1.95473827439719,0.43408155,27.203833,41.8640456620428,3.40874331987899,0.44056416,21.773062,0.029809435974839205,35.04893931107189
41.4574793193639,2.60612825487514,0.4462598,23.603659,41.7846795793444,3.83454028319593,0.43646958,23.222284,0.022185010095143436,26.297287518589513
41.6947335420334,2.79833765517265,0.4966159,48.54554,41.4853016473103,3.80833178353224,0.49350372,20.11027,0.01800147075499603,23.594594637734154
41.7607164885043,3.93335473102078,0.26083297,46.394592,40.303194536782,3.6304659355028,0.26552102,33.626175,0.02592777011340237,19.19715386043671
43.3651422147173,3.98115747534271,0.17308983,23.573149,43.1920911553153,1.08482394818484,0.16780604,21.223883,0.05064050997210909,24.85506928659393
44.0648096334677,4.1746897633682,0.17597282,33.015976,43.1920911553153,1.08482394818484,0.16780604,21.223883,0.056033277251416776,27.724580032390715
0.376816176987977,-40.5911532939492,0.19989872,22.947695,2.59559297068914,-38.4733937425236,0.19587123,21.864592,0.0475171423738439,26.89274236574769
2.31580262185791,-38.4387453109633,0.20184937,29.614119,0.376816176987977,-40.5911532939492,0.19989872,22.947695,0.045744723252240695,26.26114387769303
1.75202373292236,-37.992504585191,0.19594617,23.786718,0.376816176987977,-40.5911532939492,0.19989872,22.947695,0.049009689669836924,27.74243278437913
5.69038671471488,-38.1146463346862,0.122372076,49.36931,359.980954899011,-39.4753606906562,0.1133861,45.631844,0.08119793315315307,27.917015685082383
0.966336633966315,-39.4733388322271,0.23670037,21.223883,357.735419288374,-38.7988371707212,0.23389198,20.476389,0.04529255131630539,30.195176753691054
1.55058311579169,-38.7163188280878,0.18920821,29.995493,359.374791020883,-36.4663839133205,0.19011877,24.625742,0.049468273921815416,26.888782035597735
358.999292482077,-37.2846421725656,0.20376794,39.819695,2.31580262185791,-38.4387453109633,0.20184937,29.614119,0.04993723932144319,28.930111048615327
1.11724902200242,-38.7358160085385,0.5103515,35.62458,0.405130570869396,-37.8179444069567,0.5092774,22.87142,0.018757086015990968,25.218089816154105
1.3046207110761,-38.1316813191065,0.63650906,22.017141,1.52941948846743,-36.8570910214736,0.6302353,21.315413,0.022462519391394785,36.29458229209075
