ra_L,dec_L,z_L,lam_L,ra_R,dec_R,z_R,lam_R,sep_rad,sep_hmpc
43.8937946857619,2.23595080585354,0.23551537,21.498472,43.6668829920525,4.04286050573026,0.24088417,20.918783,0.03178346093464936,21.434815814457505
43.1456888938491,2.27774499623809,0.17547315,20.934038,43.3651422147173,3.98115747534271,0.17308983,23.573149,0.029975117770736397,15.028895934297529
44.0648096334677,4.1746897633682,0.17597282,33.015976,43.1456888938491,2.27774499623809,0.17547315,20.934038,0.03677814613218999,18.585670076359786
43.1456888938491,2.27774499623809,0.17547315,20.934038,42.3914311453765,0.0469599040623289,0.18098606,35.91442,0.041098708608892226,21.05225747288462
41.9593313136292,2.79630917102911,0.4516821,33.488884,43.1178546133102,2.85482621625818,0.45150968,28.180151,0.02022126981616774,24.458663310858217
42.0540517242676,2.64112741925171,0.55340564,101.89219,41.9056414001884,1.9362095703381,0.5570793,21.040823,0.012572421985353492,18.18655341468478
41.6837496657445,2.99995148506147,0.5031987,44.197876,41.4853016473103,3.80833178353224,0.49350372,20.11027,0.014526349391518995,19.14949476133234
43.1920911553153,1.08482394818484,0.16780604,21.223883,43.3723752331679,3.63869040340363,0.17638934,30.636202,0.044684095343457304,22.134814019313048
41.8640456620428,3.40874331987899,0.44056416,21.773062,41.4574793193639,2.60612825487514,0.4462598,23.603659,0.01569854937688583,18.684637610483684
41.6947335420334,2.79833765517265,0.4966159,48.54554,41.4853016473103,3.80833178353224,0.49350372,20.11027,0.01800147075499603,23.594594637734154
41.4853016473103,3.80833178353224,0.49350372,20.11027,41.5614633079782,2.91845716672637,0.5014192,20.659449,0.015587826133103081,20.516977023999548
41.7607164885043,3.93335473102078,0.26083297,46.394592,40.303194536782,3.6304659355028,0.26552102,33.626175,0.02592777011340237,19.19715386043671
43.3651422147173,3.98115747534271,0.17308983,23.573149,43.1920911553153,1.08482394818484,0.16780604,21.223883,0.05064050997210909,24.85506928659393
43.791151283414,4.26731810182699,0.59795195,22.062906,43.0392103653819,4.42030789583429,0.5910081,46.7302,0.013355783556890505,20.46806684550726
0.786416058808816,-41.7497649579567,0.41311952,32.466797,359.966384769395,-40.9419066769403,0.41854036,43.679207,0.01772697705684053,19.931490892000074
2.09891905944566,-40.296504817695,0.39075527,35.65509,0.731734034612036,-40.3370354795156,0.39598563,57.545975,0.018207747020272235,19.481333291383454
0.997688843568922,-38.6702278679514,0.6425985,20.781488,1.3046207110761,-38.1316813191065,0.63650906,22.017141,0.010294325746349168,16.767813112938583
1.75202373292236,-37.992504585191,0.19594617,23.786718,358.999292482077,-37.2846421725656,0.20376794,39.819695,0.039998954126271226,22.85213609679932
1.75202373292236,-37.992504585191,0.19594617,23.786718,359.374791020883,-36.4663839133205,0.19011877,24.625742,0.042433265612073744,23.45489672567203
3.79943827293628,-38.7823565193657,0.20523526,20.827253,1.75202373292236,-37.992504585191,0.19594617,23.786718,0.031217027260028316,17.897044565537747
1.54104105688871,-38.0420048953452,0.3828625,50.818535,0.386232360602954,-38.2110439809765,0.3783952,21.895102,0.016127124704385768,16.752264817921603
2.99024146686277,-37.3677957533913,0.3773374,27.676737,1.54104105688871,-38.0420048953452,0.3828625,50.818535,0.02321420585070093,24.08391984057117
0.0237755479101338,-38.6267365901279,0.3005988,48.39299,359.248061140364,-37.4195357328513,0.298398,27.310617,0.023614952335310215,19.713457960022794
0.273116754517616,-38.1621784550824,0.29975286,34.068573,359.248061140364,-37.4195357328513,0.298398,27.310617,0.01918014307134587,15.990483372241936
2.28859650178661,-37.0542059491709,0.31531632,21.879847,0.470189286923189,-36.9568634097254,0.32347608,26.685163,0.02540109121164901,22.497383017768183
0.575262469016061,-36.7211942745582,0.2894191,22.078161,359.248061140364,-37.4195357328513,0.298398,27.310617,0.022139135013011173,18.162659288269115
2.384470791342,-36.0454849594001,0.2810216,30.529417,0.575262469016061,-36.7211942745582,0.2894191,22.078161,0.028022965716785045,22.35992039715732
0.575262469016061,-36.7211942745582,0.2894191,22.078161,1.8291302353148,-35.2610622545444,0.28476626,31.658285,0.031030889088072392,24.910545653773166
1.02743675837751,-36.2654813805241,0.53922415,32.512566,0.114819833945369,-36.9388814941965,0.5358826,29.507334,0.017367689287323757,24.438408666887913
0.272438662047114,-36.3535038602329,0.154074,28.897135,4.07597462737864,-37.1201007914243,0.1550256,47.66075,0.05485202544427722,24.506525338841723
359.374791020883,-36.4663839133205,0.19011877,24.625742,1.69683561592669,-34.7153394970552,0.19162777,23.14601,0.04494301643082406,24.577472280556652
1.20507812510392,-34.4403770503228,0.1950313,23.29856,359.374791020883,-36.4663839133205,0.19011877,24.625742,0.04390093541382062,24.211404318612132
3.07949284783836,-38.2998463295095,0.30958584,20.247564,3.16293243618161,-37.0919875446629,0.3098656,25.75461,0.021112579511228146,18.178358064818653
3.07949284783836,-38.2998463295095,0.30958584,20.247564,2.59390849721585,-37.1760316521808,0.31805822,21.330667,0.020727640921775124,18.06381711869955
3.07949284783836,-38.2998463295095,0.30958584,20.247564,2.28859650178661,-37.0542059491709,0.31531632,21.879847,0.02433099546539947,21.118949687445063
3.71847991357627,-36.8673877824245,0.29864994,36.69243,3.03827838708053,-38.0622849585735,0.30477008,29.202234,0.022884684627723417,19.233973523132256
2.99024146686277,-37.3677957533913,0.3773374,27.676737,3.20455566857115,-38.5953825407581,0.37273794,34.022804,0.021627310184116545,22.168164354910697
4.07597462737864,-37.1201007914243,0.1550256,47.66075,0.694161757862657,-36.1595510351729,0.15328865,25.26645,0.05023678510079084,22.389675978295404
